1	151	0.412568
2	56	0.153005
3	25	0.068306
4	14	0.0382514
5	18	0.0491803
6	14	0.0382514
7	12	0.0327869
8	4	0.010929
9	4	0.010929
10	1	0.00273224
11	7	0.0191257
12	3	0.00819672
13	1	0.00273224
14	5	0.0136612
15	1	0.00273224
16	2	0.00546448
17	3	0.00819672
18	2	0.00546448
19	3	0.00819672
21	2	0.00546448
22	3	0.00819672
23	3	0.00819672
25	4	0.010929
26	1	0.00273224
27	2	0.00546448
28	1	0.00273224
32	1	0.00273224
33	1	0.00273224
35	1	0.00273224
38	1	0.00273224
40	1	0.00273224
41	1	0.00273224
44	2	0.00546448
45	2	0.00546448
46	1	0.00273224
47	1	0.00273224
55	1	0.00273224
57	1	0.00273224
62	1	0.00273224
63	1	0.00273224
77	1	0.00273224
84	1	0.00273224
86	1	0.00273224
97	1	0.00273224
122	1	0.00273224
125	1	0.00273224
129	1	0.00273224
1233	1	0.00273224
